time accel_x accel_y accel_z gyro_x gyro_y gyro_z
6257032 +1.010742 -0.006348 +0.026855 -3.902439 +0.914634 +2.073171
6257034 +1.006836 -0.000488 +0.020508 -3.963415 +0.792683 +2.134146
6257036 +1.003906 -0.004395 +0.027344 -3.719512 +0.975610 +2.195122
6257038 +1.006348 +0.004883 +0.022461 -3.719512 +0.731707 +2.012195
6257040 +1.009277 +0.001953 +0.028809 -3.902439 +0.731707 +1.890244
6257042 +1.006836 +0.003418 +0.026367 -3.902439 +0.853659 +2.134146
6257044 +1.008789 +0.000977 +0.022461 -3.841464 +1.036585 +2.195122
6257046 +1.005859 -0.000977 +0.021973 -3.841464 +0.792683 +1.951220
6257048 +1.008789 +0.003906 +0.022949 -3.902439 +0.792683 +2.195122
6257050 +1.004883 -0.002441 +0.024902 -3.902439 +0.792683 +2.195122
6257052 +1.012207 -0.000977 +0.026367 -3.902439 +0.914634 +2.195122
6257054 +1.006836 -0.000977 +0.019531 -3.719512 +0.731707 +2.256098
6257056 +1.006836 +0.001953 +0.028320 -3.658537 +0.853659 +2.195122
6257058 +1.010254 +0.001953 +0.025391 -3.719512 +0.670732 +2.012195
6257060 +1.006348 -0.000488 +0.029297 -3.902439 +0.853659 +2.134146
6257062 +1.009766 +0.000488 +0.021973 -3.780488 +0.853659 +2.073171
6257064 +1.006836 -0.003418 +0.021973 -3.780488 +1.036585 +2.195122
6257066 +1.000977 +0.001953 +0.020508 -3.841464 +0.792683 +2.073171
6257068 +1.004395 +0.002441 +0.027344 -3.841464 +0.609756 +1.951220
6257070 +1.005859 +0.000488 +0.020996 -4.024390 +0.792683 +2.195122
6257072 +1.006348 -0.001465 +0.028320 -3.780488 +0.914634 +2.073171
6257074 +1.008789 +0.002441 +0.020996 -3.963415 +0.853659 +2.317073
6257076 +1.006348 +0.004395 +0.026855 -3.902439 +0.792683 +1.951220
6257078 +1.009277 +0.000977 +0.028809 -3.780488 +0.914634 +2.195122
6257080 +1.010742 +0.002441 +0.027344 -3.841464 +0.853659 +2.378049
6257082 +1.004883 +0.000488 +0.026367 -3.719512 +0.914634 +2.012195
6257084 +1.010742 -0.003418 +0.027344 -3.902439 +0.853659 +2.073171
6257086 +1.005859 +0.000000 +0.015625 -3.658537 +0.975610 +2.073171
6257088 +1.007324 +0.001465 +0.027344 -3.902439 +0.853659 +2.134146
6257090 +1.008789 +0.000977 +0.022461 -3.902439 +0.853659 +2.073171
6257092 +1.008789 -0.003906 +0.019043 -3.841464 +0.914634 +2.134146
6257094 +1.006348 +0.003906 +0.029785 -3.963415 +0.792683 +2.012195
6257096 +1.007812 -0.004883 +0.024902 -3.963415 +0.731707 +2.073171
6257098 +1.008301 -0.001953 +0.022461 -3.841464 +0.914634 +2.195122
6257100 +1.010742 -0.002930 +0.027344 -3.841464 +0.914634 +2.073171
6257102 +1.007324 +0.000488 +0.032227 -3.902439 +0.975610 +2.134146
6257104 +1.007324 +0.002930 +0.025391 -3.963415 +0.914634 +2.073171
6257106 +1.005371 +0.000977 +0.027344 -3.902439 +0.975610 +2.256098
6257108 +1.005371 -0.001953 +0.034668 -4.024390 +0.914634 +2.012195
6257110 +1.005371 +0.000488 +0.029297 -3.719512 +1.036585 +2.134146
6257112 +1.008789 +0.000000 +0.023926 -3.902439 +0.853659 +2.073171
6257114 +1.007812 +0.001953 +0.020508 -3.841464 +0.914634 +2.073171
6257116 +1.006836 +0.007324 +0.015625 -3.902439 +0.914634 +2.012195
6257118 +1.006836 +0.000000 +0.022461 -3.780488 +0.792683 +2.073171
6257120 +1.003418 +0.000000 +0.033691 -3.841464 +0.975610 +2.256098
6257122 +1.007324 -0.003418 +0.027344 -3.841464 +0.975610 +2.256098
